title, kind of sale,brand,year,price,usage,explanation
موتور برقی هارلی|موتورسیکلت و لوازم جانبی|تهران  بهارستان|دیوار,فروشی,برقی (سایر) 2000 وات,1400,20000000,100,فنی توپ پیچ تاپیچ فابریک عالی از هر نظر قیمت مقطوع موتور فیس لوکس
ان اس 200 مدل 95|موتورسیکلت و لوازم جانبی|تهران  پیروزی|دیوار,فروشی,باجاج پالس NS,1395,62000000,18400,موتور کاملا سالم کاربرات کارکرد 18هزارتا موتور پلمپ به شرط کارشناسی کاملا بی صدا و سواری عالی بدون هیچ تصادف و زمین خوردگی بیمه تا برج 8 دارد لاستیک عقب اسپورت شده و پهن  دارای زنون و هدلایت یه قفل دیسک سایز بزرگ هم روش هست تخفیف هم پای معامله میدم لطفا از پشت تلفن تخفیف نخواید
کلیک 150 تایلندی|موتورسیکلت و لوازم جانبی|تهران  سعادت‌آباد|دیوار,فروشی,هوندا کلیک 150,1399,70500000,5500,موتور 150 اصلی تک ریموت روکش زین وسپایی و کف پایی کلا 5500 تا رفته بهترین و خاص ترین رنگ
ارشیا 125مدل97|موتورسیکلت و لوازم جانبی|تهران  دروازه شمیران|دیوار,فروشی,ایران دوچرخ عرشیا 125,1397,14200000,30000,ارشیا 125 مدل97پنج دنده استارتی فنی کاملا سالم بدون روغن ریزی و روغن سوزی بیمه ندارد تمام شده ادرس خیابان هفده شهریور بالاتر از میدان شهدا روبروی اتش نشانی پلاک1682
موتور سیوان 150cc مدل 90|موتورسیکلت و لوازم جانبی|تهران  نیاوران|دیوار,فروشی,ساوین 150,1390,13000000,1000,سلام موتور سیوان 150 مدل 90 استارتی-5 دنده چند سال خواب بوده بسیار تمیز-باطری نو-باک و بغل نو بوق سالم-چراغ سالم-چهار راهنما سالم ترمز جلو دیسکی-تعویض برگه سند کمپانی تک برگ برگه سبز کارت خودرو  بیمه ندارد
موتور برقی 1500 دلتا _پاکشتی|موتورسیکلت و لوازم جانبی|تهران  مرزداران|دیوار,فروشی,دلتا (شاهین موتور),1398,19500000,2000,باتری نو  سال ساخت 1398  مناسب برای 
هندا125زیگما|موتورسیکلت و لوازم جانبی|تهران  پیروزی|دیوار,فروشی,زیگما,1390,0,5,باسلام زیگما مدل 90 بدون روغن ریزی وروغن سوزی
آپاچی  180 مدل 90|موتورسیکلت و لوازم جانبی|تهران  آبشار تهران|دیوار,فروشی,آپاچی 180,1390,26000000,60,مدارک کامل فنی سالم به شرط  تمام فابریک لاستیک نو ست زنجیر و دنده زنجیر نو لنت ترمز نو دیسک ترمز عقب نو
آپاچی 89|موتورسیکلت و لوازم جانبی|تهران  جیحون|دیوار,فروشی,آپاچی 180,1389,25000000,80000,همه تعویضیا تازه عوض شده به خریدار واقعی تخفیف میدم تماس از ساعت ده صبح تا ده شب
هندا 125 زیگما مدل 95|موتورسیکلت و لوازم جانبی|تهران  تهران‌نو|دیوار,فروشی,زیگما CG 125,1395,16850000,1,زیگما 125 در حد صفر  موتور پلمپ و تعمیر نشده بدون صدا لوازم فابریک خودشه  اماده سند زدن  ظاهری در حد صفر  بیمه نداره لازم به توضیحم نیست فقط باید دیده بشه موتور سالم سالم توجه کنید موتور مارکش زیگما هست مارک متفرقه نیست
گالکسی SR200|موتورسیکلت و لوازم جانبی|تهران  نارمک|دیوار,فروشی,اس وای ام لاکی 200,1400,0,0,گالکسی SR200  مدل 1400 با گارانتی تایوان  رنگ مشکی  صفر خشک  سند سفید معاوضه با هوندا به قیمت هم دارم
باکسر مدل 94|موتورسیکلت و لوازم جانبی|تهران  تهران‌سر|دیوار,فروشی,باجاج,1394,21200000,45000,لاسیک عقب جلو نو موتوی سالم یک سال بیمه کامل تمامی سرویس ها انجام شده استارت سالم به شرط و بدونه تصادف
آپاچی 160مدل 88|موتورسیکلت و لوازم جانبی|تهران  آهنگ|دیوار,فروشی,آپاچی 160,1388,19000000,0,فنی سالم مدارک تکمیل بیمه تا برج 10
طرح کلیک های کلیک تایوان|موتورسیکلت و لوازم جانبی|تهران  دولت‌آباد|دیوار,فروشی,هوندا کلیک 150,1399,28900000,6000,فنی عالی  موتوری عالی  خوش رخ  قرمز مات  150cc شرکت گالکسی تایوان کارت سوخت فعال  مدارک اماده انتقال  قیمت مناسب مقطوع 
موتور هوندا مدل 84|موتورسیکلت و لوازم جانبی|تهران  ارامنه|دیوار,فروشی,ثمین,1384,9000000,20000,بیمه تا 
بنلی TRK صفر مدل 1399|موتورسیکلت و لوازم جانبی|تهران  قلهک|دیوار,فروشی,سایر,1399,95000000,0,برای اطلاعات بیشتر فقط تماس تلفنی
پالس پره هندی 180 cc با یکسال بیمه|موتورسیکلت و لوازم جانبی|تهران  شهر ری - علائین|دیوار,فروشی,باجاج پالس 180,1388,0,30000,با سلام  یک دستگاه موتور سیکلت پالس بفروش میرسد لوازم فابریک لاستیک عقب و جلو فابریک و 90 درصد هدلایت دو رنگ روشه باطری نو لنت عقب و جلو نو قیمت یه هندا گذاشتم موتوریش فقط زوزه میکشه که از قیمت کم میکنم تماس و پیام پاسخگو ام به دلیل نیاز مالی میفروشم اطلاعات بیشتر تماس یا پیام بدین  مدارک کامل  سند اماده انتقال هفته پیش بیمه کردم یاعلی
هنداکلیک150واریوصفروخشک مدل99|موتورسیکلت و لوازم جانبی|تهران  فلاح|دیوار,فروشی,هوندا کلیک 150,1399,74000000,0,هنداکلیک واریوصفروخشک مدل99
Piaggio italya موتور|موتورسیکلت و لوازم جانبی|تهران  پیروزی|دیوار,فروشی,پیاجینو لیبرتی 150,1390,25000000,2677,موتور Piaggio italya ایتالیایی  دو زمانه گازی  همین ی نسخه تو ایران هست فقط 50سی سی فروشنده واقعی تخفیف پای معامله تماس
موتور اپاچی سفید 91|موتورسیکلت و لوازم جانبی|تهران  دروس|دیوار,فروشی,سایر,1391,30500000,12000,اپاچی سفید 6 سال در پارکینگ خوابیده اکبند در حد صفر به شرط مدل 91 در حد موتور 98 خشک تمیز
